序号,股票代码,股票简称,资产-货币资金,资产-应收账款,资产-存货,资产-总资产,资产-总资产同比,负债-应付账款,负债-预收账款,负债-总负债,负债-总负债同比,资产负债率,股东权益合计,公告日期
84,688209,英集芯,274772250.61,67710663.1,156683543.96,734039046.74,,44951687.17,,112211117.06,,15.2868049129,621827929.68,2022-03-29
85,688141,杰华特,331655282.25,89600290.65,198435859.99,1043039457.31,,85002337.41,,182320131.46,,17.4796964949,860719325.85,2022-03-29
86,688326,经纬恒润,607113436.46,527605335.28,1407806643.29,4268831347.14,,894168920.18,,2859776021.86,,66.9920123168,1409055325.28,2022-03-28
87,688709,成都华微,61554166.18,329737083.51,185914119.18,1097908745.48,,116526689.85,,368598075.62,,33.5727424649,729310669.86,2022-03-25
88,688125,安达智能,359632681.82,118416407.35,208526927.38,872680215.95,,91139010.02,,212563188.54,,24.357512025,660117027.41,2022-03-25
89,603278,大业股份,1264899281.77,1203999920.82,587018604.22,6591891455.06,36.854004458,371806094.35,,4709844260.32,52.8886969062,71.4490566544,1882047194.74,2022-03-24
90,301356,天振股份,,,,2220772000.0,,,,1148288300.0,,51.7067173037,,2022-03-23
91,301286,侨源股份,,,,1438527400.0,,,,647158700.0,,44.9875824402,,2022-03-23
92,301273,瑞晨环保,,,,646331700.0,,,,,,,,2022-03-23
93,301301,川宁生物,550667290.04,818753320.6,1191804092.72,9733490537.84,,653797282.56,,4895653891.84,,50.2970016029,4837836646.0,2022-03-22
94,603072,天和磁材,21337575.78,427691565.14,680012581.55,1880038079.23,,682912480.45,,1129406067.61,,60.0735740455,750632011.62,2022-03-21
95,301212,联盛化学,,,,812608400.0,,,,,,,,2022-03-21
96,001378,德冠新材,61923800.0,31270200.0,110955700.0,754914700.0,27.5514783282,57247500.0,,153075900.0,-7.8477219272,20.2772445682,601838900.0,2022-03-21
97,301290,东星医疗,,,,1192978700.0,,,,134654400.0,,11.287242597,,2022-03-18
98,600078,澄星股份,339611402.99,203542930.69,715501100.06,5240945800.78,-27.7512837148,464472068.94,,5320634971.95,5.0200397851,101.5205112626,-79689171.17,2022-03-16
99,301298,东利机械,28674969.17,89022976.24,163285718.19,631251594.72,,87269161.35,,194851950.89,,30.8675578042,436399643.83,2022-03-16
100,002644,佛慈制药,324713879.88,390775356.48,285329233.99,2473868747.61,7.4966580021,372869168.88,,873912647.53,23.3183303677,35.3257483193,1599956100.08,2022-03-16
101,688689,银河微电,195411370.63,171302286.07,134000310.56,1332158807.26,73.20038751,178104588.0,,296106397.27,38.9851611168,22.2275599318,1036052409.99,2022-03-15
102,002612,朗姿股份,286221453.7,291775012.4,1055130267.72,6158479532.0,17.9840751171,275828092.3,,2617796916.2,51.4586887038,42.5071952029,3540682615.8,2022-03-15
103,688331,荣昌生物,1079106504.32,5398012.18,195680863.1,3128047808.09,,65698049.66,,623400448.24,,19.9293772502,2504647359.85,2022-03-14
104,300382,斯莱克,332327847.2,341730117.57,821160344.03,2575609200.06,13.7000124908,195922490.53,,1367951904.2,21.9282440916,53.1117804738,1207657295.86,2022-03-11
105,301227,森鹰窗业,,,,1263515700.0,,,,441375000.0,,34.9322924915,,2022-03-10
106,002832,比音勒芬,1051343404.25,281820917.4,610564619.96,4246394602.0,22.6501987311,128071870.61,,1174978057.53,-2.0174439397,27.6700158053,3071416544.47,2022-03-10
107,301232,飞沃科技,,,,1329114800.0,,,,774462100.0,,58.269014836,,2022-03-09
108,002876,三利谱,510523333.84,765406330.46,495891874.4,3671557983.12,14.7256469778,351660133.88,,1584360519.15,15.9660001739,43.1522674144,2087197463.97,2022-03-08
109,688035,德邦科技,,,,702305000.0,,,,136275700.0,,19.4040623376,,2022-03-07
110,688297,中无人机,571445584.02,676171287.5,855422108.39,2899166778.75,,1209737558.95,,1740676205.48,,60.0405681466,1158490573.27,2022-03-04
111,688197,首药控股,47242713.55,,3006944.55,85300217.05,-57.3871535648,30193953.18,,42793175.14,83.375858485,50.167721279,42507041.91,2022-03-04
112,301246,宏源药业,,,,2201750500.0,,,,642708300.0,,29.1907870578,,2022-03-04
113,301237,和顺科技,24124078.78,84948723.16,86262192.09,632774641.29,22.0885859364,32924419.26,,183721714.34,-9.7309916576,29.0343042138,449052926.95,2022-03-04
114,688306,均普智能,368956417.24,207741805.66,1395173583.09,3451670100.55,,256597087.53,,2934689403.56,,85.0223027714,516980696.99,2022-03-03
115,688238,和元生物,514951395.28,25139901.92,42112825.09,1114916575.81,,24504589.16,,227023473.19,,20.3623731242,887893102.62,2022-03-03
116,688147,微导纳米,173494082.32,54013187.02,442553973.95,1407885519.09,,94679717.82,,550440535.77,,39.0969669271,857444983.32,2022-03-03
117,688153,唯捷创芯,,,,1742884200.0,,,,,,,,2022-03-02
118,301567,贝隆精密,,,,638994600.0,,,,371031200.0,,58.0648412365,,2022-03-02
119,301150,中一科技,,,,1596320400.0,,,,641911400.0,,40.2119399088,,2022-03-02
120,300182,捷成股份,179179893.9,1291029614.41,566848469.58,10739465086.55,-13.4448474255,1255850352.08,,3923330236.83,-14.1751791262,36.5318961905,6816134849.72,2022-03-01
121,301468,博盈特焊,36100385.77,93111551.54,413823389.67,1003552504.45,,19356837.3,,397984905.06,,39.6576066818,605567599.39,2022-02-28
122,301209,联合化学,,,,439547800.0,,,,114178900.0,,25.9764467027,,2022-02-28
123,301381,赛维时代,,,,2248241400.0,,,,1045138200.0,,46.486920844,,2022-02-26
124,002840,华统股份,418483369.14,35638884.64,524384650.87,6662758679.18,47.3088094603,258298253.5,5926128.42,4289456060.3,80.959120852,64.3795800935,2373302618.88,2022-02-26
125,688102,斯瑞新材,39722858.88,198867853.43,203337442.19,1194542375.82,,59936248.69,,626281204.03,,52.4285464214,568261171.79,2022-02-25
126,301322,绿通科技,,,,553735000.0,,,,,,,,2022-02-25
127,688193,仁度生物,,,,354684300.0,,,,82287600.0,,23.200237507,,2022-02-23
128,688115,思林杰,47103489.05,146864263.86,39030070.05,340954568.25,,3454399.77,,34655933.7,,10.1643846211,306298634.55,2022-02-23
129,301120,新特电气,,,,821829500.0,,,,92220300.0,,11.2213421397,,2022-02-23
130,301109,军信股份,,,,7268346100.0,,,,4669988900.0,,64.2510529321,,2022-02-23
131,688375,国博电子,,,,5023257200.0,,,,2549093900.0,,50.7458367849,,2022-02-22
132,688237,超卓航科,,,,442480300.0,,,,,,,,2022-02-21
133,600925,苏能股份,4199497233.5,527079471.74,327560668.1,24803954381.43,,1337575875.2,,15621695457.49,,62.9806651684,9182258923.94,2022-02-21
134,301208,中亦科技,,,,828283700.0,,,,348573600.0,,42.083841563,,2022-02-21
