序号,股票代码,股票简称,净利润,净利润同比,营业总收入,营业总收入同比,营业总支出-营业支出,营业总支出-销售费用,营业总支出-管理费用,营业总支出-财务费用,营业总支出-营业总支出,营业利润,利润总额,公告日期
145,688178,万德斯,-28435278.47,-559.035448593678,207370213.13,-22.6570235547,172092494.34,8221022.14,37948762.25,8759755.84,242835598.15,-34603828.54,-36561050.69,2025-08-30
146,688173,希荻微,-44688409.12,61.980040977526,466449284.71,102.7260814774,329311890.53,28056055.87,44431051.51,-6708149.18,528909405.22,-59903255.73,-59644191.77,2025-08-30
147,688171,纬德信息,3107281.33,13.08,46291034.09,22.0286133998,26791463.96,6088942.61,4915961.88,-1379296.39,41985912.65,5390439.88,5410710.56,2025-08-30
148,688156,路德科技,-13073806.66,-969.04,146960856.09,1.0762034321,119145992.66,6266027.99,29017577.89,9391015.16,174803392.64,-21808868.52,-22096311.67,2025-08-30
149,688155,先惠技术,152171301.51,17.44,1272850720.39,8.5896862541,903633435.97,3684271.58,63328612.3,18604662.42,1061478402.12,240703567.25,241370536.71,2025-08-30
150,688121,卓然股份,-219047.03,-100.62,965872510.86,-28.9167349712,750508097.64,9808338.35,76853736.9,20729109.47,899377530.91,15262015.6,9088497.16,2025-08-30
151,688116,天奈科技,116746501.84,1.07,653602252.96,1.0815264902,424566359.78,7080612.94,40211052.42,13359809.89,543230234.78,134330882.89,134496104.87,2025-08-30
152,688098,申联生物,-12869700.94,62.705138257015,121725138.28,-3.6801332375,50158462.42,38625005.46,27418489.4,-58448.87,138536976.11,-16380912.97,-16264533.38,2025-08-30
153,688092,爱科科技,26110575.17,-37.97,213895978.91,-0.0899472363,121168247.66,36309748.21,16059660.05,-4988607.99,186962354.54,28695779.47,28692800.23,2025-08-30
154,688083,中望软件,-52405919.53,-976.9,333599725.85,8.2406612262,16237454.32,183678701.65,65062593.63,992724.17,493463578.37,-63754559.43,-64075524.89,2025-08-30
155,688081,兴图新科,-30393020.7,-9.941249665186,61852104.78,8.4904564188,26721096.96,18037434.92,19395636.67,567651.34,85152682.45,-31522549.62,-31531470.19,2025-08-30
156,688068,热景生物,-83997815.68,-93.241408878826,203913314.33,-18.0445756665,89356506.62,91717894.9,51349962.59,-10703644.53,272195683.45,-90747377.87,-91221947.24,2025-08-30
157,688062,迈威生物,-551319064.76,-23.896868810089,101165449.14,-12.4321419109,21547809.1,102204799.24,115046428.1,36265445.35,671700790.36,-552442829.55,-552175797.82,2025-08-30
158,688061,灿瑞科技,-26823513.45,-348.591105461402,293547040.65,8.5709889676,213361516.9,9226151.12,26358734.26,56217.47,327036849.83,-27400148.84,-27511475.01,2025-08-30
159,688057,金达莱,63545978.45,-5.55,168321903.73,-18.1833337385,61938505.74,14953644.45,19416059.66,-25244798.28,86462899.87,62194754.22,72233786.58,2025-08-30
